step,ekf_x,ekf_y,theta_deg,sigma_xx,sigma_yy,sigma_yaw,event,obs_landmark,obs_range_m,obs_bearing_deg,sigma_xx_before,sigma_xx_after
63,4.7979,3.4229,72.11,0.00025,,,obs_L0,0,2.32,-213.99,0.000252,0.00025
63,4.7977,3.4222,72.1,0.000248,,,obs_L1,1,1.365,-45.98,0.00025,0.000248
63,4.7979,3.4221,72.09,0.000245,,,obs_L2,2,4.58,56.1,0.000248,0.000245
63,4.7976,3.4218,72.09,0.000244,,,obs_L3,3,4.071,-108.61,0.000245,0.000244
63,4.7975,3.4214,72.08,0.000241,,,obs_L4,4,4.651,15.61,0.000244,0.000241
64,4.8281,3.516,73.22,0.000249,0.000312,4.9e-05,predict,,,,,
64,4.8281,3.516,73.22,0.000247,,,obs_L0,0,2.366,-213.5,0.000249,0.000247
64,4.8276,3.5166,73.24,0.000245,,,obs_L1,1,1.33,-51.51,0.000247,0.000245
64,4.8274,3.5164,73.24,0.000242,,,obs_L2,2,4.502,55.5,0.000245,0.000242
64,4.8272,3.5161,73.23,0.000241,,,obs_L3,3,4.054,-111.03,0.000242,0.000241
64,4.8272,3.516,73.24,0.000238,,,obs_L4,4,4.495,14.46,0.000241,0.000238
65,4.856,3.6118,74.38,0.000246,0.000309,4.8e-05,predict,,,,,
65,4.8556,3.6115,74.37,0.000244,,,obs_L0,0,2.39,-213.02,0.000246,0.000244
65,4.8554,3.6099,74.35,0.000242,,,obs_L1,1,1.241,-54.64,0.000244,0.000242
65,4.8554,3.61,74.35,0.000239,,,obs_L2,2,4.413,55.77,0.000242,0.000239
65,4.8552,3.6097,74.34,0.000239,,,obs_L3,3,4.103,-113.31,0.000239,0.000239
65,4.8552,3.6097,74.34,0.000236,,,obs_L4,4,4.383,13.77,0.000239,0.000236
66,4.882,3.7053,75.49,0.000243,0.000304,4.7e-05,predict,,,,,
66,4.8822,3.7055,75.48,0.000241,,,obs_L0,0,2.573,-213.24,0.000243,0.000241
66,4.8824,3.7061,75.49,0.00024,,,obs_L1,1,1.133,-61.02,0.000241,0.00024
66,4.882,3.7056,75.5,0.000236,,,obs_L2,2,4.426,54.99,0.00024,0.000236
66,4.8821,3.7059,75.51,0.000236,,,obs_L3,3,4.139,-117.02,0.000236,0.000236
66,4.8814,3.7054,75.53,0.000233,,,obs_L4,4,4.351,11.91,0.000236,0.000233
67,4.9062,3.8017,76.68,0.00024,0.000298,4.7e-05,predict,,,,,
67,4.9061,3.8016,76.68,0.000238,,,obs_L0,0,2.599,-213.08,0.00024,0.000238
67,4.9057,3.802,76.69,0.000237,,,obs_L1,1,1.189,-66.83,0.000238,0.000237
67,4.9062,3.8025,76.67,0.000233,,,obs_L2,2,4.289,56.61,0.000237,0.000233
67,4.9067,3.803,76.69,0.000233,,,obs_L3,3,4.106,-120.25,0.000233,0.000233
67,4.9064,3.8028,76.7,0.00023,,,obs_L4,4,4.216,11.65,0.000233,0.00023
